step,train_loss,val_loss,step_time_ms,tokens_per_second
0,3.14991,3.14374,84.8379,1508.76
100,2.66681,2.64307,84.9216,1507.27
200,2.59264,2.59734,84.9369,1507
300,2.56364,2.57718,84.6565,1511.99
400,2.55675,2.54052,84.7967,1509.49
500,2.50512,2.48772,85.6355,1494.71
600,2.49498,2.47686,84.7275,1510.73
700,2.48855,2.48351,84.8373,1508.77
800,2.47129,2.45942,84.7417,1510.47
900,2.45213,2.4499,84.6471,1512.16
1000,2.44491,2.43776,84.9988,1505.9
1100,2.42733,2.44517,85.1177,1503.8
1200,2.40451,2.42089,84.7952,1509.52
1300,2.41844,2.43173,84.6188,1512.67
1400,2.39712,2.41447,84.3213,1518
1500,2.37987,2.42506,84.7289,1510.7
1600,2.39172,2.41889,84.4637,1515.44
1700,2.40537,2.41074,84.2765,1518.81
1800,2.38695,2.41708,84.7916,1509.58
1900,2.37574,2.40609,84.2079,1520.05
2000,2.38315,2.39509,84.2923,1518.53
2100,2.38918,2.39865,84.4945,1514.89
2200,2.3662,2.38438,84.1344,1521.38
2300,2.36251,2.42314,84.3409,1517.65
2400,2.36848,2.37384,84.2779,1518.79
2500,2.35193,2.36727,86.1435,1485.89
2600,2.36682,2.36168,84.5695,1513.55
2700,2.34199,2.36734,84.6204,1512.64
2800,2.35407,2.37501,84.2095,1520.02
2900,2.36073,2.36342,84.8273,1508.95
3000,2.34761,2.37432,84.6578,1511.97
3100,2.3527,2.37129,84.2058,1520.09
3200,2.33611,2.35512,84.7242,1510.78
3300,2.31919,2.34465,84.3185,1518.05
3400,2.37083,2.36571,84.2484,1519.32
3500,2.33069,2.37148,84.6492,1512.12
3600,2.33837,2.35326,84.2658,1519
3700,2.32761,2.35764,84.4913,1514.95
3800,2.33417,2.36752,84.7002,1511.21
3900,2.33413,2.34005,84.5629,1513.67
4000,2.32072,2.36582,85.0976,1504.16
4100,2.32418,2.35783,85.1153,1503.84
4200,2.3295,2.34525,84.8469,1508.6
4300,2.306,2.34426,84.686,1511.47
4400,2.31043,2.36754,84.7758,1509.86
4500,2.3072,2.34087,101.136,1265.62
4600,2.321,2.36713,89.3837,1432.03
4700,2.34843,2.34794,85.9512,1489.22
4800,2.31169,2.30683,85.8388,1491.17
4900,2.29956,2.35937,85.5907,1495.49
5000,2.30809,2.3488,84.9568,1506.65
5100,2.29482,2.33373,84.7082,1511.07
5200,2.29333,2.36818,84.8802,1508.01
5300,2.30849,2.3657,84.8064,1509.32
5400,2.30608,2.35946,84.8974,1507.7
5500,2.3117,2.36456,84.6264,1512.53
5600,2.33484,2.34356,86.1195,1486.31
5700,2.31262,2.36365,85.2675,1501.16
5800,2.31397,2.33855,84.8897,1507.84
5900,2.32549,2.32288,84.9843,1506.16
6000,2.28472,2.32829,85.2847,1500.85
6100,2.28758,2.31754,85.2933,1500.7
6200,2.2995,2.34174,85.0705,1504.63
6300,2.29294,2.33684,84.538,1514.11
6400,2.25789,2.32489,84.9313,1507.1
6500,2.28961,2.35116,84.7112,1511.02
6600,2.30469,2.35216,91.2218,1403.17
6700,2.29439,2.33779,101.306,1263.5
6800,2.28688,2.34839,84.7906,1509.6
6900,2.27972,2.3358,85.3418,1499.85
7000,2.27631,2.339,84.9469,1506.82
7100,2.28898,2.32542,84.6738,1511.68
7200,2.30702,2.30492,85.0523,1504.96
7300,2.29239,2.31882,84.7442,1510.43
7400,2.27509,2.31895,84.9861,1506.13
7500,2.30188,2.31869,86.2135,1484.69
7600,2.26799,2.33018,85.0565,1504.88
7700,2.27944,2.33526,84.9899,1506.06
7800,2.28544,2.31857,84.9759,1506.31
7900,2.27845,2.31288,84.7107,1511.03
8000,2.27285,2.3415,85.0354,1505.26
8100,2.25806,2.31716,84.9252,1507.21
8200,2.26326,2.32725,85.6983,1493.61
8300,2.28398,2.31332,85.2246,1501.91
8400,2.28799,2.33451,84.7028,1511.17
8500,2.29252,2.3376,84.7583,1510.18
8600,2.25793,2.29173,85.1172,1503.81
8700,2.26824,2.30048,89.4632,1430.76
8800,2.26899,2.3086,92.1307,1389.33
8900,2.25962,2.34546,91.7865,1394.54
9000,2.28386,2.33523,90.9898,1406.75
9100,2.26705,2.32702,90.4427,1415.26
9200,2.26487,2.29975,90.2007,1419.06
9300,2.26258,2.33442,89.9723,1422.66
9400,2.24989,2.31753,91.4454,1399.74
9500,2.26562,2.33123,89.6432,1427.88
9600,2.25703,2.33595,89.2082,1434.85
9700,2.27024,2.30738,88.8074,1441.32
9800,2.2833,2.29812,88.3089,1449.46
9900,2.27036,2.31192,89.5459,1429.43
