section,total_seconds,wall_share_percent,calls,average_milliseconds
train.forward_backward_step,630.563,73.3308,10000,63.0563
model.forward_backward,630.454,73.3182,10000,63.0454
model.forward,440.085,51.1793,20000,22.0042
decoder.forward,409.236,47.5918,20000,20.4618
decoder_block.forward,409.211,47.5889,80000,5.11514
decoder.backward,384.391,44.7024,10000,38.4391
decoder_block.backward,384.382,44.7014,40000,9.60954
train.validation_step,219.96,25.5801,10000,21.996
model.forward_loss,219.877,25.5704,10000,21.9877
feed_forward.forward,213.739,24.8566,80000,2.67173
attention.backward,206.699,24.038,40000,5.16748
attention.forward,188.642,21.938,80000,2.35803
feed_forward.backward,172.702,20.0843,40000,4.31755
model.compute_logits_and_loss,30.5658,3.55463,20000,1.52829
model.backward_logits,22.0401,2.56313,10000,2.20401
train.optimizer_step,9.32933,1.08495,10000,0.932933
model.update,9.32695,1.08467,10000,0.932695
param.update,9.25461,1.07626,430000,0.0215224
rms_norm.forward,4.52304,0.526004,160000,0.028269
rms_norm.backward,4.05876,0.472011,80000,0.0507345
model.compute_input_embeddings,0.261816,0.0304477,20000,0.0130908
train.generate_batch,0.182194,0.0211881,20000,0.0091097
model.accumulate_embedding_grads,0.163078,0.0189651,10000,0.0163078
